Start,End,Distance
17171,17181,21.3
17181,20101,21.6
20101,28011,22.2
28011,28021,22.7
28021,28031,23.2
28031,28041,23.6
28041,28659,24.2
28659,28649,24.9
28649,28639,25.2
28639,28319,25.6
28319,28449,25.9
28449,28009,26.4
28009,28009,0.0
28009,28441,0.5
28441,28311,0.9
28311,28631,1.4
28631,28641,1.7
28641,28651,2.3
28651,28049,2.9
28049,28039,3.3
28039,28029,3.6
28029,28019,4.2
28019,20109,4.8
20109,17189,5.2
17189,17179,5.5
17179,17169,5.8
17169,17159,6.2
17159,19049,6.7
19049,19039,7.2
19039,19029,7.7
19029,19019,8.0
19019,11199,8.4
11199,11189,8.9
11189,11179,9.1
11179,11169,9.7
11169,11061,10.3
11061,11071,10.7
11071,11081,11.0
11081,11229,11.5
11229,11219,11.8
11219,11209,12.2
11209,13029,12.6
13029,13019,13.3
13019,09149,13.4
09149,09159,14.0
09159,09169,14.3
09169,09179,14.6
09179,09213,15.1
09213,40191,15.9
40191,40201,16.3
40201,40211,16.7
40211,40221,16.9
40221,40231,17.3
40231,51091,18.8
51091,51101,19.2
51101,52071,20.0
52071,52181,20.6
52181,52231,20.8
52231,52271,21.4
52271,52369,22.0
52369,52051,22.8
52051,52061,23.3
52061,66011,23.9
66011,66021,24.4
66021,66391,24.8
66391,66401,25.0
66401,66411,25.4
66411,66389,25.7
66389,66009,25.8
28009,28441,0.5
28441,28311,0.9
28311,28631,1.4
28631,28641,1.7
28641,28651,2.3
28651,28049,2.9
28049,28039,3.3
28039,28029,3.6
28029,28019,4.2
28019,20109,4.8
20109,17189,5.2
17189,17179,5.5
43009,43179,0.6
43179,43189,1.0
43189,43619,1.4
43619,43629,1.6
43629,42319,2.0
42319,28109,2.7
28109,28189,3.1
28189,28019,3.8
28019,20109,4.4
20109,17189,4.8
17189,17179,5.1
17179,17169,5.4
17169,17159,5.8
17159,19049,6.3
19049,19039,6.8
19039,19029,7.3
19029,19019,7.6
19019,11199,8.0
11199,11189,8.5
11189,11401,8.9
11401,11239,10.0
11239,11229,10.4
11229,11219,10.7
11219,11209,11.1
11209,13029,11.5
13029,13019,12.2
13019,09149,12.3
09149,09159,12.9
09159,09169,13.2
09169,09179,13.5
09179,09048,14.0
09048,09038,14.6
09038,08138,15.0
08138,08057,15.4
08057,08069,15.9
08069,04179,16.2
04179,02049,16.6
02049,02151,17.2
02151,02161,17.9
02161,02171,18.2
02171,03509,19.1
03509,03519,19.4
03519,03539,20.0
03539,03529,20.4
03529,03129,21.0
03129,03218,21.6
03218,03239,0.0
03239,03222,0.8
03222,03111,1.5
03111,03071,1.8
03071,03381,2.4
03381,03391,2.6
03391,03511,3.3
03511,03501,3.7
03501,02051,4.4
02051,02061,4.7
02061,04111,5.4
04111,04121,5.8
04121,08041,6.1
08041,08031,6.4
08031,08111,6.9
08111,08121,7.2
08121,09059,7.5
09059,09022,8.0
09022,09111,8.5
09111,09121,8.8
09121,09131,9.4
09131,09141,9.7
09141,13011,10.0
13011,13021,10.6
13021,11201,10.9
11201,11211,11.2
11211,11221,11.7
11221,11231,12.2
11231,11419,12.9
11419,11409,13.4
11409,11181,13.7
11181,11191,14.2
11191,19011,14.7
19011,19021,15.1
19021,19031,15.5
19031,19041,15.9
19041,17151,16.6
17151,17161,16.9
17161,17171,17.3
17171,17181,17.6
17181,20101,17.9
20101,28011,18.5
28011,28181,19.3
28181,28101,19.7
28101,42311,20.4
42311,43621,20.8
43621,43611,21.1
43611,43181,21.4
43181,43171,21.8
43171,43009,22.3
43009,43179,0.6
43179,43189,1.0
43189,43619,1.4
43619,43629,1.6
43629,42319,2.0
42319,28109,2.7
28109,28189,3.1
28189,28019,3.8
28019,20109,4.4
20109,17189,4.8
17189,17179,5.1
64009,64391,0.5
64391,63351,0.8
63351,63341,1.2
63341,63059,1.7
63059,63049,2.1
63049,63039,2.5
63039,63029,3.0
63029,63019,3.6
63019,62149,3.9
62149,62139,4.3
62139,62129,4.6
62129,62119,4.9
62119,61049,5.2
61049,61039,5.6
61039,61029,5.9
61029,61019,6.2
61019,60269,6.5
60269,60209,6.6
60209,60179,7.1
60179,60221,7.7
60221,60039,8.0
60039,60029,8.5
60029,60019,9.0
60019,07369,9.3
07369,07379,9.5
07379,01319,9.8
01319,01219,10.2
01219,01239,10.5
01239,01529,10.9
01529,01519,11.1
01519,01629,11.5
01629,01619,11.9
01619,02029,12.7
02029,03019,13.3
03019,03059,13.6
03059,03129,14.0
03129,03218,14.6
03218,03239,14.8
03239,03239,0.0
03239,03222,0.8
03222,03111,1.5
03111,03031,2.1
03031,03011,2.7
03011,02111,3.3
02111,01611,3.9
01611,01621,4.1
01621,01511,4.4
01511,01521,4.7
01521,01231,5.1
01231,01211,5.4
01211,01311,5.7
01311,07371,6.0
07371,60011,6.6
60011,60021,7.2
60021,60031,7.7
60031,60229,8.0
60229,60159,8.5
60159,60161,9.6
60161,60201,10.2
60201,60261,10.4
60261,61011,10.6
61011,61021,10.9
61021,61031,11.1
61031,61041,11.4
61041,62111,11.8
62111,62121,12.0
62121,62131,12.3
62131,62141,12.7
62141,63011,13.2
63011,63021,13.7
63021,63031,14.3
63031,63041,14.6
63041,63051,14.8
63051,63349,15.3
63349,63359,15.8
63359,64399,16.1
64399,64009,16.6
64009,64391,0.5
64391,63351,0.8
63351,63341,1.2
63341,63059,1.7
63059,63049,2.1
63049,63039,2.5
63039,63029,3.0
63029,63019,3.6
63019,62149,3.9
62149,62139,4.3
62139,62129,4.6
62129,62119,4.9
62119,61049,5.2
61049,61039,5.6
61039,61029,5.9
61029,61019,6.2
61019,60269,6.5
60269,60209,6.6
60209,60179,7.1
60179,60221,7.7
60221,60039,8.0
60039,60029,8.5
60029,60019,9.0
60019,07369,9.3
07369,07379,9.6
07379,01319,9.9
01319,01219,10.3
01219,01239,10.6
01239,01529,11.0
01529,01519,11.2
01519,01629,11.6
01629,01619,11.9
01619,02089,12.6
02089,02169,13.1
02169,02141,13.5
02141,01511,14.0
01511,01521,14.3
01521,01231,14.7
01231,01211,15.0
01211,01311,15.3
01311,07371,15.7
07371,60011,16.3
60011,60021,16.9
60021,60031,17.4
60031,60229,17.7
60229,60159,18.2
60159,60161,19.3
60161,60201,19.9
60201,60261,20.1
60261,61011,20.3
61011,61021,20.6
61021,61031,20.8
61031,61041,21.1
61041,62111,21.5
62111,62121,21.7
62121,62131,22.0
62131,62141,22.4
62141,63011,22.9
63011,63021,23.4
63021,63031,24.0
63031,63041,24.3
63041,63051,24.5
63051,63349,25.0
63349,63359,25.5
63359,64399,25.8
64399,64009,26.3
66009,66361,0.6
66361,66041,1.1
66041,66051,1.4
66051,63361,1.8
63361,63181,2.2
63181,63191,2.6
63191,63201,2.8
63201,63211,3.1
63211,64101,3.6
64101,64491,4.2
64491,64481,4.4
64481,64471,4.7
64471,64601,4.9
64601,64611,5.2
64611,64469,5.4
64469,64629,5.8
64629,67459,6.0
67459,67469,6.3
67469,67279,6.6
67279,67449,7.0
67449,67419,7.3
67419,67599,7.6
67599,65199,9.1
65199,77339,13.1
77339,77289,13.6
77289,77239,13.9
77239,77249,14.2
77249,78049,14.5
78049,77019,14.7
77019,77029,15.1
77029,77039,15.5
77039,77049,15.9
77049,77059,16.3
77059,78069,16.6
78069,78059,17.0
78059,98111,17.5
98111,98109,17.7
98109,98031,18.1
98031,98041,18.4
98041,98231,18.7
98231,98051,19.0
98051,98061,19.6
98061,98071,20.0
98071,99011,20.4
99011,99021,20.8
99021,99031,21.1
99031,99041,21.5
99041,99139,21.8
99139,99009,22.1
99009,99009,0.0
99009,99131,0.2
99131,99049,0.5
99049,99039,0.9
99039,99029,1.2
99029,99019,1.6
99019,98079,2.2
98079,98069,2.6
98069,98059,3.0
98059,98239,3.3
98239,98049,3.6
98049,98039,4.0
98039,98101,4.5
98101,98119,4.7
98119,78051,5.2
78051,78061,5.6
78061,77051,6.0
77051,77041,6.4
77041,77031,6.8
77031,77021,7.1
77021,77011,7.5
77011,77241,7.8
77241,77231,8.1
77231,77281,8.4
77281,77331,8.8
77331,65191,12.9
65191,67591,14.2
67591,67411,14.6
67411,67441,14.9
67441,67271,15.4
67271,67461,15.7
67461,67451,16.1
67451,64621,16.3
64621,64461,16.6
64461,64619,16.9
64619,64609,17.1
64609,64479,17.4
64479,64489,17.7
64489,64499,18.0
64499,64109,18.4
64109,63219,18.8
63219,63209,19.1
63209,63199,19.5
63199,63189,19.8
63189,63179,20.0
63179,63369,20.4
63369,66059,20.8
66059,66049,21.2
66049,66369,21.5
66369,66389,22.0
66389,66009,22.1
66009,66361,0.6
66361,66041,1.1
66041,66051,1.4
66051,63361,1.8
63361,63181,2.2
63181,63191,2.6
63191,63201,2.8
63201,63211,3.1
63211,64101,3.6
64101,64491,4.2
64491,64481,4.4
64481,64471,4.7
64471,64601,4.9
64601,64611,5.2
85049,85039,0.3
85039,85029,0.5
85029,85019,0.7
85019,94079,1.0
94079,94069,1.6
94069,94059,1.9
94059,94049,2.3
94049,94089,2.5
94089,94039,2.8
94039,94029,3.2
94029,94019,3.4
94019,93099,3.8
93099,93089,4.3
93089,93079,4.6
93079,93069,4.9
93069,93059,5.3
93059,92159,5.6
92159,92149,5.9
92149,92139,6.2
92139,92129,6.7
92129,92119,7.2
92119,92109,7.4
92109,92099,7.7
92099,80159,13.6
80159,02119,14.1
02119,03019,15.1
03019,03059,15.4
03059,03129,15.8
03129,03217,16.2
03217,03222,0.0
03222,03111,0.7
03111,03071,1.0
03071,03031,1.3
03031,03011,1.9
03011,80151,3.2
80151,92091,9.1
92091,92101,9.4
92101,92111,9.6
92111,92121,10.1
92121,92131,10.6
92131,92141,11.0
92141,92151,11.2
92151,93051,11.5
93051,93061,11.9
93061,93071,12.3
93071,93081,12.7
93081,93091,13.0
93091,94011,13.4
94011,94021,13.8
94021,94031,14.1
94031,94041,14.5
94041,94051,14.9
94051,94061,15.4
94061,94071,15.9
94071,85021,16.3
85021,85031,16.7
85031,85041,16.9
80009,80051,0.3
80051,80119,0.9
80119,80149,1.5
80149,80189,2.1
80189,80179,2.9
80179,80199,3.2
80199,80191,3.3
80191,90039,4.4
90039,90029,4.9
90029,90019,5.1
90019,90079,5.5
90079,90011,5.8
90011,90021,6.0
90021,90031,6.5
90031,80199,7.6
80199,80191,7.7
80191,80171,8.0
80171,80181,8.7
80181,80141,9.1
80141,80111,9.7
80111,80049,10.1
